type,x,y
path,19393.0,3837.0
path,19316.0,3841.0
path,19307.0,3839.0
path,19279.0,3806.0
path,19238.0,3738.0
path,19210.0,3669.0
path,19133.0,3424.0
path,19056.0,3149.0
path,19056.0,3129.0
path,19039.0,3092.0
path,19013.0,3064.0
path,19005.0,3071.0
path,19058.0,3320.0
path,19133.0,3622.0
path,19138.0,3633.0
path,19152.0,3667.0
path,19173.0,3719.0
path,19188.0,3759.0
path,19233.0,3807.0
path,19364.0,3841.0
path,19399.0,3835.0
path,19484.0,3824.0
path,19595.0,3813.0
path,19621.0,3813.0
path,19688.0,3809.0
path,19778.0,3800.0
path,19923.0,3769.0
path,20143.0,3717.0
path,20413.0,3642.0
path,20444.0,3628.0
path,20503.0,3602.0
path,20565.0,3576.0
path,20575.0,3576.0
path,20717.0,3512.0
path,20883.0,3432.0
path,20915.0,3409.0
path,21085.0,3329.0
path,21276.0,3249.0
path,21285.0,3249.0
path,21307.0,3243.0
path,21335.0,3229.0
path,21341.0,3222.0
path,21363.0,3211.0
path,21399.0,3203.0
path,21431.0,3209.0
path,21516.0,3193.0
path,21601.0,3158.0
path,21601.0,3147.0
path,21596.0,3134.0
path,21579.0,3126.0
path,21535.0,3145.0
path,21472.0,3156.0
path,21385.0,3121.0
path,21190.0,2744.0
path,20943.0,2231.0
path,20598.0,1321.0
path,20472.0,809.0
path,20271.0,-9.0
path,20050.0,-919.0
path,20028.0,-1018.0
path,19952.0,-1365.0
path,19862.0,-1778.0
path,19855.0,-1815.0
path,19848.0,-1852.0
path,20999.0,-1889.0
path,22158.0,-1889.0
path,23317.0,-1889.0
path,24476.0,-1866.0
path,24476.0,-1821.0
